q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
1,0,0,0,0.466666667,1,0,0,0,1,0.565656566,RUSH
1,0,0,0,0.466666667,0,1,0,0,0.5,0.515151515,RUSH
1,0,0,0,0.466666667,1,0,0,0,1,0.444444444,RUSH
1,0,0,0,0.466666667,0,1,0,0,0.3,0.373737374,SHORT_PASS
1,0,0,0,0.466666667,0,0,1,0,0.3,0.373737374,RUSH
1,0,0,0,0.466666667,1,0,0,0,1,0.333333333,RUSH
1,0,0,0,0.466666667,0,1,0,0,0.7,0.303030303,RUSH
1,0,0,0,0.466666667,1,0,0,0,0.8,0.080808081,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.95959596,RUSH
0,1,0,0,0.525,0,1,0,0,0.6,0.919191919,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.828282828,RUSH
0,1,0,0,0.525,0,1,0,0,0.5,0.777777778,RUSH
0,1,0,0,0.525,0,0,1,0,0.1,0.737373737,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.707070707,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.565656566,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.464646465,SHORT_PASS
0,1,0,0,0.525,1,0,0,0,1,0.656565657,RUSH
0,1,0,0,0.525,0,1,0,0,1,0.656565657,RUSH
0,1,0,0,0.525,0,0,1,0,0.2,0.575757576,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.555555556,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.434343434,MEDIUM_PASS
0,1,0,0,0.525,1,0,0,0,1,0.252525253,RUSH
0,1,0,0,0.525,0,1,0,0,0.3,0.181818182,RUSH
0,1,0,0,0.525,0,0,1,0,0.1,0.161616162,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.121212121,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.838383838,RUSH
0,1,0,0,0.525,0,1,0,0,0.4,0.777777778,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.696969697,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.505050505,SHORT_PASS
0,1,0,0,0.525,0,1,0,0,0.2,0.424242424,RUSH
0,1,0,0,0.525,1,0,0,0,1,0.292929293,SHORT_PASS
0,0,1,0,0.583333333,1,0,0,0,1,0.727272727,RUSH
0,0,1,0,0.583333333,0,1,0,0,0.4,0.666666667,RUSH
0,0,1,0,0.525,1,0,0,0,1,0.757575758,RUSH
0,0,1,0,0.525,0,1,0,0,0.5,0.707070707,RUSH
0,0,1,0,0.525,1,0,0,0,1,0.515151515,RUSH
0,0,1,0,0.525,1,0,0,0,1,0.373737374,RUSH
0,0,1,0,0.525,0,1,0,0,0.5,0.323232323,RUSH
0,0,1,0,0.525,0,0,1,0,0.5,0.323232323,RUSH
0,0,1,0,0.525,0,0,0,1,0.6,0.333333333,RUSH
0,0,1,0,0.525,1,0,0,0,1,0.242424242,RUSH
0,0,1,0,0.525,0,1,0,0,0.6,0.202020202,RUSH
0,0,1,0,0.525,0,0,1,0,0.3,0.171717172,RUSH
0,0,1,0,0.525,0,0,0,1,0.3,0.171717172,RUSH
0,0,1,0,0.525,1,0,0,0,1,0.131313131,RUSH
0,0,1,0,0.525,0,1,0,0,0.6,0.090909091,RUSH
0,0,1,0,0.525,1,0,0,0,0.3,0.03030303,RUSH
0,0,1,0,0.525,0,1,0,0,0.1,0.01010101,RUSH
0,0,0,1,0.558333333,1,0,0,0,1,0.737373737,RUSH
0,0,0,1,0.558333333,0,1,0,0,0.4,0.676767677,MEDIUM_PASS
0,0,0,1,0.558333333,1,0,0,0,1,0.515151515,RUSH
0,0,0,1,0.558333333,1,0,0,0,1.5,0.464646465,RUSH
0,0,0,1,0.558333333,0,1,0,0,1.5,0.464646465,RUSH
0,0,0,1,0.558333333,1,0,0,0,1,0.252525253,RUSH
0,0,0,1,0.558333333,0,1,0,0,0.6,0.212121212,RUSH
0,0,0,1,0.558333333,0,0,1,0,0.3,0.181818182,RUSH
0,0,0,1,0.558333333,1,0,0,0,1,0.141414141,RUSH
0,0,0,1,0.558333333,0,1,0,0,0.6,0.101010101,RUSH
0,0,0,1,0.558333333,0,0,1,0,0.4,0.080808081,RUSH
0,0,0,1,0.558333333,1,0,0,0,0.4,0.04040404,RUSH
0,0,0,1,0.558333333,0,1,0,0,0.2,0.02020202,RUSH
0,0,0,1,0.558333333,0,0,1,0,0.1,0.01010101,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.626262626,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.484848485,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.313131313,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.6,0.272727273,RUSH
0,0,0,1,0.616666667,0,0,1,0,0.1,0.222222222,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.191919192,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.1,0.101010101,RUSH
0,0,0,1,0.616666667,1,0,0,0,0.6,0.060606061,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.4,0.04040404,RUSH
0,0,0,1,0.616666667,0,0,1,0,0.4,0.04040404,RUSH
0,0,0,1,0.616666667,0,0,0,1,0.3,0.03030303,FIELD_GOAL
0,0,0,1,0.641666667,1,0,0,0,1,0.393939394,RUSH
0,0,0,1,0.641666667,0,1,0,0,1.2,0.414141414,RUSH
0,0,0,1,0.641666667,0,0,1,0,1.3,0.424242424,RUSH
0,0,0,1,0.641666667,0,0,0,1,1.4,0.434343434,RUSH
1,0,0,0,0.475,1,0,0,0,1,0.757575758,RUSH
1,0,0,0,0.475,0,1,0,0,0.6,0.717171717,RUSH
1,0,0,0,0.475,0,0,1,0,0.3,0.686868687,RUSH
1,0,0,0,0.475,0,0,0,1,0.1,0.666666667,PUNT
1,0,0,0,0.416666667,1,0,0,0,1,0.787878788,RUSH
1,0,0,0,0.416666667,0,1,0,0,0.1,0.696969697,MEDIUM_PASS
1,0,0,0,0.416666667,1,0,0,0,0.5,0.535353535,RUSH
1,0,0,0,0.416666667,1,0,0,0,1,0.373737374,RUSH
1,0,0,0,0.416666667,0,1,0,0,0.5,0.323232323,RUSH
1,0,0,0,0.416666667,1,0,0,0,1,0.262626263,LONG_PASS
1,0,0,0,0.416666667,1,0,0,0,0.1,0.01010101,RUSH
1,0,0,0,0.475,1,0,0,0,1,0.717171717,RUSH
1,0,0,0,0.475,0,1,0,0,0.4,0.656565657,SHORT_PASS
1,0,0,0,0.475,0,0,1,0,0.1,0.626262626,RUSH
